top_k,rebalance_every,min_hold_bars,total_return,annual_return,max_drawdown,sharpe_ratio,turnover_ratio,trade_count
4,2,8,0.274965871461901,0.445953876594255,0.17266445452813217,1.479965545033704,17.328061811999998,194
4,2,10,0.40632270324760045,0.6780454386951713,0.1324916090639463,1.987984732590832,15.428791043,196
4,2,12,-0.01976613475224931,-0.029852292802899916,0.1836315713156692,-0.0360326933946348,11.3564571875,203
4,3,8,0.2165223495877009,0.34653750108151105,0.13163865200180735,1.1812592191983142,12.527226376,147
4,3,10,0.850093363054101,1.5445985102630675,0.11122492089708236,3.3065965322750115,12.785418983,145
4,3,12,0.12757987375600033,0.1999506757618177,0.2122688238832533,0.8618980797438134,8.987344975,141
4,4,8,0.748870751623651,1.3362739123554306,0.11180769272668367,2.961707242474538,12.7260672145,121
4,4,10,0.30676342590690076,0.5010508385866204,0.1455920060037963,1.8661480770416445,7.911149697,110
4,4,12,0.24517892866405022,0.3949823095590821,0.15780613017441292,1.288066620536602,6.2069562165,109
4,5,8,0.1699620692996502,0.2690820255265105,0.2191230881100703,1.0615331238610899,10.8950516895,113
4,5,10,0.20233251038860045,0.32276627304560157,0.16391528276677392,1.1227595776460535,7.994263833,92
4,5,12,0.4558370209234508,0.7685484396982485,0.1364789651729128,1.960450855478652,9.8028971085,101
5,2,8,0.24091790430075122,0.387741984665801,0.16454913494192314,1.4015764953116132,16.8050610775,236
5,2,10,0.24856590581580096,0.40074662074919365,0.13158067271278773,1.4885296750458072,14.357205479000001,236
5,2,12,-0.013159659889848907,-0.01990907112311846,0.17312538222248264,-0.027640019757018252,11.2697990295,230
5,3,8,0.2175133669768503,0.34820307423263697,0.12707196397498044,1.2232003169184837,12.0405187905,178
5,3,10,0.6160939078051009,1.0723702933483277,0.09355674769827227,2.839110508714195,12.102732203,177
5,3,12,0.13528650639240047,0.21242280363500243,0.20505324005993653,0.943094582824363,8.779012822,181
5,4,8,0.5409134160316009,0.9277953889728376,0.09514363914516044,2.516153184463112,12.081424003,157
5,4,10,0.24355464141735061,0.3922208071926778,0.13991614379893136,1.620641686359302,7.8013972605,138
5,4,12,0.17747743759870027,0.2814780359028921,0.13271645138471033,1.0334948969197206,6.071050070999999,132
5,5,8,0.1677967582982507,0.2655181516315783,0.21065995330604925,1.0887383938518203,10.6563170925,139
5,5,10,0.14381990647815046,0.22628419849742487,0.13627180679259865,0.8815399341348843,7.8463700045,112
5,5,12,0.3375707204422509,0.5550987170062844,0.11984117559426954,1.6662269399577876,9.294318772499999,121
6,2,8,0.15892530899095103,0.2509524424850116,0.13275625960019966,1.070804505318559,17.0947519685,296
6,2,10,0.26380911153085074,0.426789288750822,0.12933256068196808,1.6278629092242596,16.1474465105,280
6,2,12,0.07981814212480054,0.12364377923230552,0.13295058542981364,0.5552107159694363,13.014731794,280
6,3,8,0.1882549311161008,0.2993262912149599,0.13224043090221504,1.136149620496501,11.703483293,215
6,3,10,0.37063016216385036,0.6138192444081474,0.08462741868707668,2.0545734040927823,10.9994644805,219
6,3,12,0.10724616536720055,0.167255344369992,0.18034110150394544,0.8396837933021575,8.531481745999999,205
6,4,8,0.4407907455670508,0.7408752337912254,0.08630108825955074,2.2382456499404126,10.8613695665,191
6,4,10,0.27094698028020026,0.4390403498974871,0.11702480870593612,1.8518699633254159,7.648530911,172
6,4,12,0.1548367689555501,0.24425901173749853,0.13835669453101718,0.9653368602857628,6.0041724714999996,166
6,5,8,0.11635268053685088,0.18185993507602416,0.18348168265870735,0.8530939251773895,10.4380673355,157
6,5,10,0.12300012465125043,0.19255985346964977,0.13704494384513854,0.8144627541727502,7.869734587499999,133
6,5,12,0.29103763968275054,0.47371422701020593,0.1020595634809719,1.6027739098760194,9.0525054225,146
8,2,8,0.09701287935325098,0.15091780172817293,0.16461911191595213,0.7151317689874349,17.0372248225,383
8,2,10,0.24046849357270084,0.386979096604545,0.12402265808072677,1.535751241931674,15.945684666,358
8,2,12,0.12527977750070085,0.19623682089833672,0.09832534848495866,0.8814310366231918,13.578294966,368
8,3,8,0.20168081749555,0.3216780122748506,0.09655964071171863,1.3123374185385146,12.087012671499998,275
8,3,10,0.2767133073775505,0.4489634415161057,0.12744313909689287,1.7366835958260756,10.7285995665,286
8,3,12,0.13357528866225055,0.20964963230426137,0.12565268296869203,1.0926030016175947,8.1939371425,267
8,4,8,0.2662017759514006,0.4308919481982383,0.11862133925417495,1.6613829995068314,9.943152141999999,236
8,4,10,0.14133296417695007,0.2222389342939579,0.1056274733388517,1.065804146200242,7.615758298499999,226
8,4,12,0.24551897513220022,0.3955606697311256,0.10938526441192342,1.580511883253821,6.4810775309999995,217
8,5,8,0.1177158502028004,0.18405144922386585,0.13633629323364027,0.9336919023460069,9.968325959,200
8,5,10,0.2069622370416,0.33050623862900075,0.11230010149617187,1.3954507062792836,8.504981368000001,187
8,5,12,0.1517521509749502,0.2392172384787925,0.09755129927170036,1.1836869503192848,8.2704093985,194
