top_k,rebalance_every,min_hold_bars,total_return,annual_return,max_drawdown,sharpe_ratio,turnover_ratio,trade_count
4,2,8,0.1904093561500504,0.16789690434942672,0.24081885531648817,0.7286952232726869,26.2618740165,339
4,2,10,0.38916319651265097,0.34003451650790173,0.18090249017886906,1.1529948467503885,24.0817922745,331
4,2,12,0.3654132766457514,0.3196148785051127,0.1921691075715216,1.1434256030615857,22.806791167500002,322
4,3,8,0.3613380374997517,0.31610718730742393,0.28022850717317005,1.0409694333716402,19.126542517500003,256
4,3,10,0.7231968612917512,0.6234787939667374,0.18858873721103642,1.7308997380523503,16.3247347475,239
4,3,12,0.5820398198228511,0.5045097571658468,0.2304734497789629,1.50109890725728,13.797386790500001,223
4,4,8,0.19024647818415108,0.16775460992847657,0.18805160061999082,0.6965329896190937,15.2206973345,200
4,4,10,0.11778641753875019,0.10423515975607689,0.24149856383333346,0.5298465199900565,12.1977722275,201
4,4,12,0.7394203161232507,0.6370821463999525,0.20848900389555647,1.681566758701966,12.101393912499999,216
4,5,8,0.6980832526242011,0.6023933205468563,0.22976714422669675,1.7378834184041079,13.552834366,181
4,5,10,0.7138011456981501,0.6155940856641031,0.2083365992860846,1.6467925444586895,11.6602153345,186
4,5,12,0.20443510917585073,0.18014220164073014,0.22273339006572723,0.7985868854781226,9.0415226355,176
5,2,8,0.3539488971745517,0.30974417664719245,0.19683444953329876,1.198381285359953,30.2352218915,419
5,2,10,0.31885745408080113,0.27947353850969225,0.1756883478984137,1.0484954229245131,23.329990373999998,395
5,2,12,0.3331495302986014,0.29181271180024604,0.21260373253225573,1.0854765129498316,23.010821612999997,406
5,3,8,0.5049566515171007,0.43905668039879586,0.2706284743485743,1.4260428746348341,19.965604703,303
5,3,10,0.6723057315461007,0.5807148628167684,0.20349178465873607,1.7452488838356741,16.765689693,295
5,3,12,0.7404956730174506,0.6379833397132297,0.1866608468448212,1.8526184454488315,15.2282874485,287
5,4,8,0.5301934434862008,0.46052537092533163,0.20392125401801608,1.485934999668704,15.453053341,248
5,4,10,0.10107783007480031,0.08952511557501075,0.23013689203370424,0.5127628508236419,11.764161053999999,245
5,4,12,0.4504844114170008,0.39258214249051715,0.187055524879011,1.289803258940981,11.393158459999999,253
5,5,8,0.8987578607945006,0.7699697718594192,0.18596825651168547,2.1268528717135555,15.177224275,224
5,5,10,0.44007015540440064,0.38367535038485,0.18653009315344404,1.2704041740668015,11.074615187,220
5,5,12,0.3920464986218508,0.34251089849147,0.1843068567781292,1.2924376747352784,9.7060497405,216
6,2,8,0.22841056795325132,0.20103812989827086,0.18471447713450972,0.9046077013929532,29.1246701175,495
6,2,10,0.310402467339401,0.2721669724803635,0.18879277109188186,1.1096438487956892,23.111369226999997,465
6,2,12,0.2617981625297017,0.23006310921897732,0.20691837604063357,0.9475630759977229,22.201839761,463
6,3,8,0.45838199049875095,0.39933187517381485,0.2774623752606794,1.3334753279731142,19.2220586175,373
6,3,10,0.5327436712084508,0.46269265687973404,0.15807403502997242,1.4294940494995685,16.8894875735,348
6,3,12,0.5689459761671507,0.4934165714258425,0.18188964016442322,1.60984954307354,14.4612738095,332
6,4,8,0.8000960006096007,0.6878366665553803,0.2002728147311088,1.9970263633112493,18.038823718,308
6,4,10,0.14411743865685045,0.12736798586308673,0.21244959736530566,0.661924769039252,11.7577433205,297
6,4,12,0.36098759125725044,0.3158054931371066,0.18334811784997063,1.1356973568510753,10.638055182499999,287
6,5,8,0.9491628073644003,0.8117487439408086,0.18152790445764455,2.259683199980114,15.360403302,260
6,5,10,0.4062412403023503,0.35469417126879677,0.18349387244109405,1.2503707668198554,10.5737762955,255
6,5,12,0.3255811407170006,0.28528029969372093,0.18565706008113236,1.1550543475216168,8.941038050000001,252
8,2,8,0.05549333517860178,0.049267365236586036,0.18557552296826496,0.3593022275064101,28.126375397999997,652
8,2,10,0.17597580177925098,0.15527905941083286,0.18637669806369495,0.7249540568059257,22.8491217575,637
8,2,12,0.10244514853460118,0.09072980052453472,0.2020352828016767,0.5024089080742798,20.408461858,608
8,3,8,0.319009092795401,0.2796045335687434,0.2522433859119656,1.0536527664350512,18.116236427,452
8,3,10,0.4710380049563012,0.4101401079878748,0.16776626421249896,1.391105898625263,17.951265929,471
8,3,12,0.5558206480765513,0.48228652918437964,0.17798966973150532,1.5982929298209434,14.8987981415,442
8,4,8,0.5167563310817012,0.44909942060382857,0.18008007644236823,1.53744033752556,17.381522721,420
8,4,10,0.1345419651304005,0.11896237835672441,0.1994675268201913,0.6194522990033736,12.062764297000001,389
8,4,12,0.32458595826420034,0.284421036495373,0.1602108965553739,1.1102490105245417,10.709341196,383
8,5,8,0.5638373427201508,0.48908575912659624,0.17772034887023103,1.7304595697632048,13.0520014645,334
8,5,10,0.37470968667165083,0.32761231654608425,0.15927560757579284,1.2382099752108788,10.7329005545,338
8,5,12,0.30429127390085076,0.26688263363011355,0.16005174140682743,1.1283036461753113,8.177190360500001,315
