top_k,rebalance_every,min_hold_bars,total_return,annual_return,max_drawdown,sharpe_ratio,turnover_ratio,trade_count
5,3,5,0.11434763335820386,0.17863901847348185,0.17121811653181673,0.6966474513938122,63.434038795999996,743
5,3,10,0.2918576551694525,0.4751354437700044,0.07739467207454276,1.7673432043176442,38.1326623485,635
5,5,5,0.11434763335820386,0.17863901847348185,0.17121811653181673,0.6966474513938122,63.434038795999996,743
5,5,10,0.2918576551694525,0.4751354437700044,0.07739467207454276,1.7673432043176442,38.1326623485,635
8,3,5,0.07435213281880282,0.11502053767963116,0.14848638232662115,0.54897433071329,59.059688739,1114
8,3,10,0.04367677222205213,0.06704947755520707,0.18249196597678075,0.3625403046077251,36.2340227065,962
8,5,5,0.07435213281880282,0.11502053767963116,0.14848638232662115,0.54897433071329,59.059688739,1114
8,5,10,0.04367677222205213,0.06704947755520707,0.18249196597678075,0.3625403046077251,36.2340227065,962
10,3,5,0.16279067355525356,0.2572917689503149,0.13036597432511832,1.1465972389202173,60.2542098525,1340
10,3,10,0.07889927288140197,0.12219257530147187,0.18698569707070078,0.6067313306980113,35.536809002,1145
10,5,5,0.16279067355525356,0.2572917689503149,0.13036597432511832,1.1465972389202173,60.2542098525,1340
10,5,10,0.07889927288140197,0.12219257530147187,0.18698569707070078,0.6067313306980113,35.536809002,1145
