slowdown,momentum_window,min_return,total_return,annual_return,max_drawdown,sharpe_ratio,turnover_ratio,trade_count
0.5,3,0.08,0.9515681869957007,0.8137395009151425,0.18152790445764455,2.2612998505651656,15.359473471000001,261
0.5,3,0.12,0.9515681869957007,0.8137395009151425,0.18152790445764455,2.2612998505651656,15.359473471000001,261
0.7,3,0.08,0.9516761889557008,0.8138288799390494,0.18152790445764455,2.260676428811394,15.353697966,260
0.7,3,0.12,0.9516761889557008,0.8138288799390494,0.18152790445764455,2.260676428811394,15.353697966,260
0.7,5,0.12,0.9516871095507509,0.8138379174497437,0.18152790445764455,2.2605759894779585,15.3352989725,260
0.5,5,0.12,0.9509159577271007,0.8131997249768002,0.18152790445764455,2.2601828848661487,15.347890188,262
0.5,8,0.05,0.9505619785714008,0.8129067684393836,0.18152790445764455,2.259720701827752,15.352624362,258
0.5,3,0.05,0.9506494419958504,0.8129791545482881,0.18152790445764455,2.2596948657087177,15.3564287705,259
0.5,8,0.08,0.9506494419958504,0.8129791545482881,0.18152790445764455,2.2596948657087177,15.3564287705,259
0.5,8,0.12,0.9506494419958504,0.8129791545482881,0.18152790445764455,2.2596948657087177,15.3564287705,259
0.3,8,0.08,0.9499412775915508,0.8123930563074488,0.18152790445764455,2.25952437829027,15.3487506265,260
0.3,3,0.08,0.949949073352401,0.8123995084413962,0.18152790445764455,2.259491180760683,15.357363617,259
0.3,3,0.12,0.949949073352401,0.8123995084413962,0.18152790445764455,2.259491180760683,15.357363617,259
0.3,5,0.12,0.9499266555510508,0.812380954419627,0.18152790445764455,2.2594874342487112,15.344620636499998,257
0.5,5,0.08,0.9504175091558507,0.8127872024948866,0.18152790445764455,2.2593965912597374,15.3402047505,259
0.5,5,0.05,0.9503158316942006,0.8127030514950262,0.18152790445764455,2.259320132938418,15.338183446,259
0.7,8,0.08,0.9506433619711503,0.8129741226354952,0.18152790445764455,2.2587045237468018,15.3395747845,257
0.3,5,0.05,0.9494428523275504,0.8119805305311263,0.18152790445764455,2.2585761022961797,15.3302701815,258
0.3,5,0.08,0.9494374245862507,0.8119760381527319,0.18152790445764455,2.2585664583728207,15.332908182499999,258
0.7,3,0.05,0.9504398543182007,0.8128056958873691,0.18152790445764455,2.2584485992308143,15.337623741,256
0.7,8,0.12,0.9504398543182007,0.8128056958873691,0.18152790445764455,2.2584485992308143,15.337623741,256
0.3,8,0.05,0.9493916580759005,0.8119381585327119,0.18152790445764455,2.25843035347623,15.338129202,258
0.3,3,0.05,0.9493862303346006,0.8119336661413943,0.18152790445764455,2.2584207084859487,15.340767203,258
0.3,8,0.12,0.9493862303346006,0.8119336661413943,0.18152790445764455,2.2584207084859487,15.340767203,258
0.7,8,0.05,0.9504356614423006,0.8128022257644445,0.18152790445764455,2.2583949835669594,15.328545749,255
0.7,5,0.08,0.9502895978562507,0.8126813395877095,0.18152790445764455,2.258303063187092,15.3253004675,255
0.7,5,0.05,0.9503337189419003,0.8127178554967791,0.18152790445764455,2.2582052052210826,15.315193451999999,255
